#redshift LBT/Gyr log10(SMD) log10(SMD_d) log10(SMD_b)
2.5889 11.2873 7.50440042614 7.19559384703 7.21101021057
2.53131 11.2264 7.52642314086 7.21980413472 7.23091114265
2.47465 11.164 7.54800911099 7.24262927516 7.25128581971
2.4189 11.1001 7.56922120173 7.265379091 7.27098522939
2.36405 11.0348 7.58994469135 7.28783878894 7.2899879436
2.31006 10.9679 7.61026785277 7.30959100601 7.3088844208
2.25696 10.8996 7.63000647841 7.33108488142 7.32685779832
2.2047 10.8296 7.64937279485 7.3524619404 7.34418421485
2.15328 10.758 7.66827465997 7.37342530352 7.36097479423
2.10269 10.6848 7.68686501724 7.39402828937 7.37748420507
2.0529 10.6099 7.70519322385 7.41536909767 7.39266054416
2.00391 10.5333 7.72312056822 7.43533586507 7.40842857756
1.95572 10.455 7.74069444184 7.45540673013 7.42333000497
1.9083 10.3749 7.75769644867 7.47468720441 7.4378654501
1.86163 10.293 7.77441212115 7.4936568565 7.45211433345
1.81571 10.2092 7.79070074551 7.51243719386 7.46564450546
1.77054 10.1236 7.80672010868 7.5309565777 7.47886239279
1.72608 10.0361 7.82235863329 7.54937643057 7.49134361969
1.68235 9.94665 7.83767995696 7.56751675117 7.50342035984
1.6393 9.85521 7.85267407508 7.58508741827 7.51540891647
1.59696 9.76179 7.86730248875 7.60249127506 7.52675608344
1.55529 9.66634 7.88159227663 7.61933531972 7.53798526899
1.51429 9.5688 7.89571449304 7.63580042066 7.549265032
1.47394 9.46917 7.9095282354 7.65230224798 7.5597752781
1.43425 9.36741 7.92296135067 7.6685369682 7.56971634481
1.39519 9.26348 7.93607275883 7.68483054386 7.578799206
1.35676 9.15736 7.94899434134 7.70063293347 7.58801536279
1.31895 9.04902 7.96163678168 7.71586763262 7.59727495086
1.28174 8.93841 7.97393649249 7.73112188519 7.60566160641
1.24513 8.82551 7.98583387951 7.74564867481 7.61402391485
1.20911 8.71031 7.99744539921 7.76024162017 7.62156562932
1.17366 8.59275 8.00888263768 7.77456312292 7.62900201231
1.13878 8.47282 8.02011291891 7.78884913162 7.63592348587
1.10447 8.3505 8.0311416327 7.80282300387 7.64272923454
1.0707 8.22575 8.0420467778 7.81674868832 7.64922994907
1.03747 8.09856 8.05265506211 7.83032062087 7.65544257394
1.00478 7.9689 8.06302872837 7.84346666314 7.66163595831
0.972616 7.83673 8.07312110533 7.85619243101 7.66769486768
0.940964 7.70205 8.08300571713 7.86863192949 7.67360635362
0.909822 7.56485 8.09272017133 7.88116343064 7.67886985982
0.87918 7.42509 8.10221681684 7.89338215383 7.68399389978
0.849027 7.28275 8.11150913938 7.90535672174 7.68890680388
0.819359 7.13784 8.1205997008 7.91727749798 7.69329807015
0.790167 6.99033 8.12959371395 7.92898648265 7.69770650972
0.761444 6.84021 8.1383232769 7.9401743195 7.70221669946
0.73318 6.68747 8.14685139259 7.95137442954 7.70608404012
0.705373 6.53211 8.1553047329 7.9624896365 7.70981493029
0.67801 6.37412 8.16354359911 7.97331349673 7.71338980992
0.651086 6.21348 8.17166475088 7.98368751508 7.71738192288
0.624592 6.05021 8.17956761035 7.99372412341 7.72131745204
0.598527 5.88431 8.18730642421 8.00401282768 7.72424112385
0.572879 5.71577 8.19489322545 8.01400490811 7.72720999546
0.54764 5.54459 8.20232331347 8.02364817484 7.73032415107
0.522809 5.3708 8.20960317689 8.03308461035 7.73333527791
0.498374 5.19438 8.21663837141 8.0424199428 7.73574705134
0.474333 5.01536 8.22366199136 8.05158130853 7.73840673501
0.450678 4.83376 8.23046846698 8.0604810607 7.74087595456
0.427401 4.64957 8.23720770984 8.06903436003 7.74380394702
0.404498 4.46283 8.24374336326 8.07779796338 7.7455903755
0.381964 4.27355 8.25023325101 8.08622102721 7.74789679958
0.359789 4.08174 8.25658194753 8.09464517023 7.74968774307
0.337972 3.88744 8.26274987 8.10293255496 7.75112845725
0.316503 3.69066 8.26883131558 8.11087500304 7.75299694937
0.29538 3.49145 8.27471947329 8.11883579763 7.75412280455
0.274595 3.28981 8.28056056736 8.12653810686 7.7556227035
0.254145 3.08581 8.28626259939 8.13404884342 7.75704590237
0.234021 2.87944 8.29183516368 8.14143962613 7.7582559424
0.214221 2.67076 8.29740785053 8.14874909021 7.7596028417
0.194739 2.4598 8.30285498671 8.15573325877 7.76126127117
0.175569 2.24658 8.30818121149 8.16264931 7.76261924182
0.156707 2.03118 8.31341150484 8.16935630525 7.76411766902
0.138147 1.81359 8.31854630334 8.1760857939 7.76517161061
0.119886 1.59389 8.32362668025 8.18279513752 7.76602771863
0.101917 1.3721 8.3286912088 8.18926102892 7.76741216404
0.0842365 1.14826 8.33357462642 8.19554720295 7.76856827597
0.0668396 0.922425 8.33838702936 8.20181140009 7.76947622005
0.0497222 0.694639 8.34314966947 8.20790045646 7.77062906933
0.0328797 0.464949 8.34780027067 8.21406163254 7.77111818651
0.0163066 0.23338 8.3524047305 8.21986225542 7.77238839673
0.0 9.53674e-07 8.35698923763 8.22586278138 7.7729803957
