#will print SFR density
#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
3.3959522 11.9424305 -1.4534253678969669 -1.6345609820737208 -1.9206303526108468
3.3257647 11.897203 -1.3786278876592937 -1.6322848979192437 -1.7328382618094735
3.2566957 11.850899 -1.4275206310511317 -1.6150934866282707 -1.8825510627716624
3.1887448 11.803505 -1.399711392697736 -1.6081119580077947 -1.8186382644956762
3.1218586 11.754972 -1.4209210023719872 -1.593485832201503 -1.9051821986228827
3.0560546 11.705301 -1.3848752605630976 -1.5889024123236033 -1.8109987551029192
2.991299 11.654455 -1.4050312620989756 -1.574525799196332 -1.895654394213554
2.9275756 11.6024065 -1.3837559452223271 -1.562333887949711 -1.855946144006917
2.8648686 11.54913 -1.330002143334569 -1.5586386360285953 -1.7179554001549224
2.8031635 11.494601 -1.351465881733043 -1.5473668937787362 -1.7914882931529479
2.742445 11.438793 -1.31144346240237 -1.5446439252457398 -1.692893566713104
2.6826987 11.3816805 -1.3021832268716658 -1.540653451925615 -1.6763261524309117
2.6238973 11.323222 -1.2976168334924414 -1.538006759812823 -1.6691497548938157
2.5660412 11.263407 -1.292598894424273 -1.5362174006226286 -1.659802941220418
2.5091043 11.202192 -1.3330337741890437 -1.5297110868592676 -1.771697610111553
2.4530864 11.139567 -1.2679123539583315 -1.5377503713278544 -1.6025491606017876
2.3979511 11.075478 -1.272177064758434 -1.5400116561326562 -1.6091513217422435
2.3436987 11.009909 -1.3598677750230177 -1.5241323118479395 -1.8616548588491915
2.290318 10.942835 -1.289915360441911 -1.5315253901279464 -1.6598035046959854
2.2377863 10.874214 -1.3619994682905943 -1.5202317473308373 -1.877205367936632
2.1860933 10.804021 -1.2968394590268706 -1.5218251281005963 -1.6901161674892926
2.1352286 10.732227 -1.324719241352008 -1.5144434148349522 -1.7757950223951373
2.0851724 10.6587925 -1.3668433077954112 -1.5042138071775666 -1.933610428555391
2.035915 10.583689 -1.3653879794398474 -1.4959929454328074 -1.950879785445309
1.9874468 10.50689 -1.3491628939827447 -1.4886358237316493 -1.9103290356481366
