#SMF all galaxies from z=0, 10
#log10(Mstar/Msun) phi phi_err redshift
#SMF all galaxies from z=0, 10
8.9375 -1.9740765259290978 -1.925027128569481 1.0
9.0625 -1.9966843166745702 -2.0135850672127718 1.0
9.1875 -2.042073605024209 -2.076529114389711 1.0
9.3125 -2.08254714807871 -2.0927663132603964 1.0
9.4375 -2.150167784984779 -2.1645656056854214 1.0
9.5625 -2.301042255687479 -2.154914220009241 1.0
9.6875 -2.2388943489386346 -2.281446699624098 1.0
9.8125 -2.307775638346447 -2.2506327522098784 1.0
9.9375 -2.3696626292076584 -2.307775638346447 1.0
10.0625 -2.381561852507366 -2.419350413396766 1.0
10.1875 -2.5457538882633393 -2.5284948828218337 1.0
10.3125 -2.557653111563047 -2.490706321932434 1.0
10.4375 -2.636834357610672 -2.80220175127458 1.0
10.5625 -2.7815171524147293 -2.761773094218972 1.0
10.6875 -2.923623914160043 -2.8467838839273205 1.0
10.8125 -2.9378643532746533 -2.896471668116428 1.0
10.9375 -3.4149856079943155 -3.0927663132603964 1.0
11.0625 -3.4149856079943155 -3.210865625338391 1.0
11.1875 -3.7160156036582968 -3.335804361946691 1.0
11.3125 -3.7160156036582968 -3.7160156036582968 1.0
11.4375 -3.9378643532746533 -4.414985607994316 1.0
11.5625 -4.414985607994316 -3.9378643532746533 1.0
11.6875 0.0 -4.113955612330335 1.0
11.8125 0.0 0.0 1.0
11.9375 0.0 0.0 1.0
12.0625 0.0 0.0 1.0
12.1875 0.0 0.0 1.0
12.3125 0.0 0.0 1.0
12.4375 0.0 0.0 1.0
12.5625 0.0 0.0 1.0
12.6875 0.0 0.0 1.0
12.8125 0.0 0.0 1.0
12.9375 0.0 0.0 1.0
13.0625 0.0 0.0 1.0
13.1875 0.0 0.0 1.0
13.3125 0.0 0.0 1.0
13.4375 0.0 0.0 1.0
13.5625 0.0 0.0 1.0
13.6875 0.0 0.0 1.0
13.8125 0.0 0.0 1.0
13.9375 0.0 0.0 1.0
14.0625 0.0 0.0 1.0
14.1875 0.0 0.0 1.0
14.3125 0.0 0.0 1.0
14.4375 0.0 0.0 1.0
14.5625 0.0 0.0 1.0
14.6875 0.0 0.0 1.0
14.8125 0.0 0.0 1.0
14.9375 0.0 0.0 1.0
5.0625 -0.719679085562513 -0.7303197439684548 2.0
5.1875 -0.6153005170852152 -0.6677292105521713 2.0
5.3125 -0.5597088041642239 -0.617164296630292 2.0
5.4375 -0.5384213940104701 -0.612348689911505 2.0
5.5625 -0.5389988365658276 -0.5937997253854702 2.0
5.6875 -0.578534894274161 -0.5945214174166316 2.0
5.8125 -0.6056279377832099 -0.6202188100534946 2.0
5.9375 -0.6352448568175751 -0.6453129439388231 2.0
6.0625 -0.6788282327211835 -0.666952713864172 2.0
6.1875 -0.7200296057444975 -0.7080972130126979 2.0
6.3125 -0.7583125621094655 -0.7536462679882757 2.0
6.4375 -0.8057114355897281 -0.7987202027126075 2.0
6.5625 -0.8487838891394026 -0.8447930468985897 2.0
6.6875 -0.8962085390675408 -0.8971301890642869 2.0
6.8125 -0.95770942193299 -0.9451635920161526 2.0
6.9375 -1.0099809429439461 -0.9980124353912794 2.0
7.0625 -1.0580042070011844 -1.0411544629204852 2.0
7.1875 -1.1207398918561975 -1.0940089306514922 2.0
7.3125 -1.1601959205971057 -1.1551529089308321 2.0
7.4375 -1.2188094229543422 -1.2283117404945705 2.0
7.5625 -1.309816179994984 -1.2587394175969713 2.0
7.6875 -1.3588433459352633 -1.3332783378969664 2.0
7.8125 -1.4336200989157712 -1.401726942710799 2.0
7.9375 -1.4754663553756973 -1.4455696956403343 2.0
8.0625 -1.5698875679800588 -1.5284948828218339 2.0
8.1875 -1.626817236853148 -1.6156450585407338 2.0
8.3125 -1.6890739756992674 -1.6691304128205866 2.0
8.4375 -1.7695633386452236 -1.7541201299904465 2.0
8.5625 -1.8272746429754043 -1.7990355563379146 2.0
