#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
2.82264 11.512045 -1.3686153129899885 -1.5822017499723193 -1.7792512092511472
2.76869 11.463185 -1.3651878834221889 -1.5771280898206195 -1.7784279232397444
2.7155 11.413313 -1.3624612477792895 -1.57212162864709 -1.7793502134891437
2.66306 11.362411 -1.3610675187305372 -1.567335100603 -1.7834803515970807
2.61135 11.310448 -1.360030046067758 -1.5626698192894475 -1.788477060692597
2.56038 11.257426 -1.359224447760334 -1.5580622757545413 -1.7941420952050937
2.51013 11.203317 -1.3548972837125361 -1.5541307175545092 -1.7891344682469845
2.46058 11.1480875 -1.3543048905310842 -1.5502730847736435 -1.7942094645677114
2.41174 11.091742 -1.3520616381066726 -1.5466721828781078 -1.7943573137893916
2.36358 11.034234 -1.352043236025968 -1.5429764409710855 -1.8009207258491595
2.31611 10.975569 -1.3516606661110886 -1.5395532657232753 -1.8060998024539667
2.26931 10.915711 -1.3490151815267966 -1.5367706009597364 -1.8037078501453347
2.22317 10.854642 -1.3515187465510803 -1.5335691640953342 -1.8169615182706749
2.17767 10.792322 -1.3503072029954353 -1.5311805601796384 -1.8180193899443875
2.13282 10.728758 -1.3501869327801272 -1.5289790438535955 -1.8219563564427121
2.0886 10.663911 -1.3526838003572852 -1.5268818417243186 -1.833616431088163
2.045 10.597759 -1.3523425687563235 -1.5254916764283033 -1.835408605253181
2.00203 10.530308 -1.3536912604250715 -1.5240312467529267 -1.842548719293914
1.95966 10.461506 -1.3505628594683243 -1.5233516310288704 -1.8343653965484823
1.91788 10.391322 -1.3515802430917714 -1.522809581460858 -1.8385917377803158
1.8767 10.319769 -1.3545036673288564 -1.5223266376058155 -1.8486492786470088
1.8361 10.246804 -1.3564702235048571 -1.5220086712694259 -1.8554989855837942
1.79607 10.1724 -1.3538389702500402 -1.522315143085974 -1.8466030747849789
1.7566 10.096533 -1.3558148656635065 -1.5231074096269561 -1.8510870935354746
1.71769 10.019192 -1.3555368683020623 -1.5242777647905787 -1.8477429277735509
1.67933 9.940352 -1.3608502605024704 -1.525075148525274 -1.8627236055439054
1.64152 9.860009 -1.3632551900409757 -1.526345595436643 -1.8676073980156482
1.60423 9.7780905 -1.3726597370981317 -1.535065323273041 -1.878518320311374
1.56748 9.694635 -1.3934099129065247 -1.5479830989180996 -1.917056766758663
1.53124 9.609571 -1.4112236988518472 -1.560414337761756 -1.9477284107775434
1.49551 9.522892 -1.42662907646047 -1.5726437882541804 -1.970980559960536
1.46029 9.434591 -1.43938265933465 -1.5847236576645616 -1.9854245597617115
1.42557 9.344645 -1.4495517476332165 -1.5973516275115265 -1.9894681234762166
1.39133 9.252993 -1.4634050915263317 -1.6100346100463019 -2.006221956349059
1.35758 9.159662 -1.4810130122610463 -1.6221723693962793 -2.0377572926798226
1.33534 9.096474 -1.4863595218003816 -1.6352041487806983 -2.0237095140007195
