#frequency ebl ebl1 ebl2 type
5.76523076923e+14 1.2e-08 1.2e-08 0.0 1.0
1.65832503596e+14 3.1474e-08 6.5998e-09 6.5998e-09 1.0
1.32963143655e+14 2.2633e-08 6.8059e-09 6.8059e-09 1.0
1.22694605877e+14 1.7851e-08 2.9384e-09 2.9384e-09 1.0
1.15830306777e+14 1.6245e-08 3.0729e-09 3.0729e-09 1.0
1.10612109361e+14 1.6158e-08 2.9557e-09 2.9557e-09 1.0
1.06392220882e+14 1.5762e-08 3.2313e-09 3.2313e-09 1.0
1.02841068917e+14 1.5509e-08 2.9947e-09 2.9947e-09 1.0
9.97809951739e+13 1.3882e-08 2.9112e-09 2.9112e-09 1.0
9.70923340998e+13 1.4285e-08 2.3028e-09 2.3028e-09 1.0
9.46940838308e+13 8.7716e-09 2.6992e-09 2.6992e-09 1.0
9.25312509645e+13 9.5626e-09 2.8372e-09 2.8372e-09 1.0
9.05661289348e+13 8.6702e-09 3.4739e-09 3.4739e-09 1.0
8.87641380944e+13 1.2376e-08 3.3936e-09 3.3936e-09 1.0
8.71032599221e+13 1.1277e-08 3.3499e-09 3.3499e-09 1.0
8.55619612992e+13 1.0998e-08 3.3198e-09 3.3198e-09 1.0
8.41238039117e+13 1.4859e-08 3.539e-09 3.539e-09 1.0
8.2778882262e+13 1.3156e-08 3.2647e-09 3.2647e-09 1.0
8.15161649944e+13 7.1844e-09 3.3219e-09 3.3219e-09 1.0
8.03279654886e+13 1.2164e-08 2.991e-09 2.991e-09 1.0
7.92031914613e+13 1.3e-08 3.4501e-09 3.4501e-09 1.0
7.81379831626e+13 1.0619e-08 2.9842e-09 2.9842e-09 1.0
7.71268330332e+13 1.1011e-08 3.1995e-09 3.1995e-09 1.0
7.61647315871e+13 8.3831e-09 3.1047e-09 3.1047e-09 1.0
7.53246231156e+13 1.58e-08 3.15e-09 3.15e-09 1.0
7.72659793814e+13 1.56e-08 2.95e-09 2.95e-09 1.0
7.93100529101e+13 1.285e-08 2.75e-09 2.75e-09 1.0
8.14652173913e+13 1.075e-08 3.45e-09 3.45e-09 1.0
8.37407821229e+13 1.395e-08 2.6e-09 2.6e-09 1.0
8.61471264368e+13 1.265e-08 2.75e-09 2.75e-09 1.0
8.86958579882e+13 1.28e-08 2.7e-09 2.7e-09 1.0
9.14e+13 1.16e-08 2.8e-09 2.8e-09 1.0
9.45716088328e+13 1.5e-08 2.6e-09 2.6e-09 1.0
9.76521172638e+13 1.835e-08 2.6e-09 2.6e-09 1.0
1.00601342282e+14 1.685e-08 2.8e-09 2.8e-09 1.0
1.04094444444e+14 1.86e-08 2.95e-09 2.95e-09 1.0
1.18028346457e+14 2.16e-08 3.35e-09 3.35e-09 1.0
1.2286557377e+14 1.985e-08 3.85e-09 3.85e-09 1.0
1.28116239316e+14 2.265e-08 3.85e-09 3.85e-09 1.0
1.33835714286e+14 2.8e-08 4.15e-09 4.15e-09 1.0
1.40089719626e+14 3.38e-08 4.4e-09 4.4e-09 1.0
1.47680788177e+14 3.62e-08 5.3e-09 5.3e-09 1.0
1.55332642487e+14 3.82e-08 6.1e-09 6.1e-09 1.0
1.63820765027e+14 4.26e-08 6.55e-09 6.55e-09 1.0
1.7329017341e+14 5.02e-08 7.65e-09 7.65e-09 1.0
1.83921472393e+14 5.485e-08 9e-09 9e-09 1.0
1.9594248366e+14 5.635e-08 1.01e-08 1.01e-08 1.0
2.09644755245e+14 5.465e-08 1.095e-08 1.095e-08 1.0
2.398336e+14 6.015e-08 1.614e-08 1.614e-08 1.0
1.36269090909e+14 2.768e-08 6.21e-09 6.21e-09 1.0
8.56548571429e+13 8.9e-09 3.4e-09 3.4e-09 1.0
3.7474e+14 4.11e-08 1.53e-08 1.57e-08 1.0
3.61195180723e+14 3.06e-08 1.47e-08 1.58e-08 1.0
3.48595348837e+14 2.31e-08 1.44e-08 1.51e-08 1.0
3.33102222222e+14 2.96e-08 1.4e-08 1.41e-08 1.0
3.15570526316e+14 3.42e-08 1.37e-08 1.38e-08 1.0
2.99792e+14 3.12e-08 1.35e-08 1.34e-08 1.0
2.85516190476e+14 3.13e-08 1.29e-08 1.31e-08 1.0
2.70082882883e+14 3.67e-08 1.26e-08 1.26e-08 1.0
2.54061016949e+14 3.25e-08 1.22e-08 1.33e-08 1.0
2.398336e+14 3.87e-08 1.16e-08 1.26e-08 1.0
2.25407518797e+14 4.17e-08 1.09e-08 1.13e-08 1.0
2.11121126761e+14 4.27e-08 1.03e-08 1.17e-08 1.0
1.98537748344e+14 3.78e-08 1.01e-08 1.64e-08 1.0
1.8737e+14 4.11e-08 9.3e-09 1.56e-08 1.0
1.76348235294e+14 3.57e-08 8.4e-09 1.33e-08 1.0
1.30344347826e+15 7.8e-09 7.3e-09 7.3e-09 1.0
1.11034074074e+15 1.47e-08 2.1e-09 2.1e-09 1.0
9.3685e+14 2.64e-08 4.9e-09 4.9e-09 1.0
8.10248648649e+14 3.98e-08 9.4e-09 9.4e-09 1.0
7.1379047619e+14 6.04e-08 1.55e-08 1.55e-08 1.0
