#   Mstar      err     Mgas       err    Mbar       err     jstar      err      jgas     err    jbar      err    Rd    rstar   rgas   rbar  
   1.3e+09  4.7e+08   8.0e+08  2.5e+08   2.1e+09  5.3e+08    166.4     36.0    240.2     38.2    195.1    27.00   1.44   0.90   0.57   0.79  
   4.3e+09  1.6e+09   4.1e+09  1.3e+09   8.5e+09  2.1e+09    609.5    174.6    970.2    201.9    786.0   135.50   3.94   1.00   0.96   0.98  
   2.4e+10  8.7e+09   1.4e+09  4.4e+08   2.5e+10  8.7e+09    427.0     53.8    828.7    113.8    449.5    51.60   1.07   1.00   0.79   0.99  
   2.5e+09  9.1e+08   3.7e+09  1.2e+09   6.2e+09  1.5e+09    505.3    107.4    959.2    146.7    777.5   102.70   3.21   1.00   0.95   0.97  
   1.7e+09  6.2e+08   1.1e+09  3.5e+08   2.8e+09  7.1e+08    231.9     57.3    376.0     67.3    288.6    44.80   2.26   0.81   0.53   0.69  
   1.4e+09  9.1e+08   4.5e+09  2.7e+09   5.9e+09  2.9e+09    295.2    133.9    669.8    206.3    579.9   161.20   3.38   1.00   0.92   0.93  
   1.1e+09  2.8e+08   6.8e+08  1.2e+08   1.8e+09  3.0e+08    158.8     12.7    234.8     14.8    188.5    10.90   1.25   0.83   0.14   0.62  
   8.5e+08  5.5e+08   1.1e+09  6.6e+08   1.9e+09  8.6e+08    145.3     77.7    335.0    146.0    250.7    89.20   1.20   1.00   0.32   0.67  
   1.9e+09  1.2e+09   7.4e+08  4.6e+08   2.6e+09  1.3e+09    194.8    118.5    283.3     99.8    220.1    89.50   2.26   0.86   0.88   0.87  
   5.7e+08  3.7e+08   6.8e+08  4.2e+08   1.3e+09  5.6e+08    212.7    103.0    338.7    108.7    281.4    76.10   1.64   0.77   0.65   0.69  
   1.2e+09  3.1e+08   1.9e+09  3.5e+08   3.1e+09  4.7e+08    347.9     49.0    490.2     43.8    436.2    34.30   3.46   0.87   0.87   0.87  
   5.5e+07  1.4e+07   1.3e+08  2.3e+07   1.8e+08  2.7e+07     16.6      9.9     46.9      5.9     37.7     5.40   0.58   0.94   0.41   0.53  
   2.2e+07  5.8e+06   2.8e+07  5.1e+06   5.1e+07  7.8e+06      0      0        14.2      3.4      0       0       0.90    0      0.13   0      
   1.8e+08  1.2e+08   2.1e+08  1.3e+08   4.0e+08  1.8e+08     51.0     20.2    130.2     40.8     93.6    24.50   0.53   1.00   0.34   0.62  
   1.2e+08  7.8e+07   4.9e+08  3.0e+08   6.1e+08  3.1e+08    121.6    103.2    185.2    104.1    172.7    86.10   1.50   0.11   0.13   0.12  
   4.0e+08  2.6e+08   3.6e+08  2.2e+08   7.6e+08  3.4e+08     68.9     21.7    138.5     43.1    101.7    23.80   0.57   1.00   0.82   0.95  
   5.7e+07  1.5e+07   9.5e+07  1.7e+07   1.5e+08  2.3e+07     20.3      9.9     43.3      7.9     34.7     6.40   0.61   0.40   0.12   0.14  
   6.3e+08  1.6e+08   7.9e+08  1.3e+08   1.4e+09  2.0e+08    170.0      9.5    366.9     15.7    280.0    16.80   1.05   1.00   0.92   0.85  
   5.1e+08  1.7e+08   8.8e+08  2.4e+08   1.4e+09  2.9e+08    101.5     15.1    356.5     46.5    262.6    34.30   0.67   0.99   0.88   0.92  
   1.5e+08  9.4e+07   3.5e+08  2.2e+08   5.0e+08  2.4e+08     46.4     16.3    178.6     55.4    139.9    40.20   0.45   1.00   0.91   0.92  
   2.8e+10  1.5e+10   5.5e+09  2.8e+09   3.3e+10  1.6e+10    703.8    294.6   2308.0    608.7    968.2   273.00   3.09   1.00   0.06   0.49  
   2.4e+08  6.2e+07   2.1e+08  3.8e+07   4.5e+08  7.3e+07     62.8     18.3    104.3      9.5     82.2    11.10   1.72   0.94   0.21   0.72  
   1.6e+11  7.3e+10   4.5e+10  1.9e+10   2.0e+11  7.6e+10   2201.0    689.0  11930.0   2471.0   4367.0   903.80   6.97   0.99   0.59   0.93  
   1.7e+08  1.1e+08   2.4e+08  1.6e+08   4.1e+08  1.9e+08     49.0     34.0     80.7     35.9     67.9    25.60   1.04   0.93   0.62   0.75  
   8.7e+08  5.6e+08   1.2e+09  7.8e+08   2.1e+09  9.6e+08    218.9     89.6    341.1    118.9    290.9    79.60   1.80   0.93   0.85   0.87  
   1.4e+09  3.9e+08   4.1e+09  7.1e+08   5.5e+09  8.1e+08    185.2     20.6    755.5     48.9    611.5    47.80   1.67   1.00   0.69   0.74  
   6.0e+09  3.3e+09   2.2e+09  1.2e+09   8.2e+09  3.5e+09    274.8    179.0    496.8    205.9    334.5   142.60   2.75   1.00   0.92   0.99  
   7.1e+10  4.6e+10   1.1e+09  7.0e+08   7.3e+10  4.6e+10    879.1    475.7   1698.0    571.1    891.7   468.50   2.44   0.85   0.98   0.86  
   6.4e+08  1.9e+08   9.0e+08  1.8e+08   1.5e+09  2.6e+08    186.5     21.0    403.6     37.0    314.0    27.70   1.56   1.00   0.70   0.84  
   6.4e+08  4.2e+08   1.8e+09  1.1e+09   2.4e+09  1.2e+09    259.8    107.7    456.8    146.3    404.7   111.80   2.42   0.85   0.75   0.78  
   8.4e+08  5.5e+08   4.0e+09  2.5e+09   4.8e+09  2.5e+09    282.3    131.9    837.3    323.2    740.0   268.50   1.98   1.00   0.74   0.76  
   1.0e+07  3.1e+06   1.8e+07  4.3e+06   2.8e+07  5.3e+06      8.9      5.6     14.5      3.4     12.5     3.00   0.29   0.15   0.12   0.13  
   2.2e+09  1.3e+09   1.3e+09  7.1e+08   3.5e+09  1.5e+09    215.7     58.4    479.3    129.8    314.9    63.40   1.42   1.00   0.24   0.78  
   1.6e+07  3.9e+06   7.1e+07  1.2e+07   8.7e+07  1.2e+07     22.4      7.4     43.3      3.8     39.5     3.50   0.74   1.00   0.78   0.81  
